lat,long,cluster_coordinates
34.041346,-118.260304,0
34.041166,-118.262236,0
34.046879,-118.253426,0
34.063984,-118.441916,1
34.038268,-118.26634,0
34.041284,-118.250754,0
34.04818,-118.255909,0
34.032414,-118.25055,0
34.039221,-118.261765,0
34.097259,-118.323782,2
34.05215,-118.258664,0
34.049267,-118.243984,0
34.039204,-118.262558,0
34.03736,-118.261774,0
34.044701,-118.256016,0
34.040421,-118.262915,0
34.059346,-118.239685,0
34.062505,-118.236701,0
34.03933,-118.261934,0
34.037432,-118.261902,0
34.046415,-118.260762,0
34.062665,-118.446256,1
34.032949,-118.250584,0
34.049215,-118.248783,0
34.033588,-118.251347,0
34.060276,-118.2503,0
34.032331,-118.250345,0
34.043488,-118.261168,0
34.059427,-118.251906,0
34.037658,-118.266952,0
34.044208,-118.249272,0
34.062555,-118.236677,0
34.037993,-118.257375,0
34.061855,-118.444134,1
34.06251,-118.446765,1
34.059235,-118.251995,0
34.040566,-118.264078,0
34.101555,-118.323565,2
34.045632,-118.251175,0
34.033053,-118.250509,0
34.032614,-118.250816,0
34.042702,-118.260392,0
34.047032,-118.239321,0
34.041848,-118.25836,0
34.042146,-118.258079,0
34.059429,-118.249682,0
34.059472,-118.444888,1
34.091992,-118.326512,2
34.034704,-118.253991,0
34.044975,-118.250097,0
34.060571,-118.442065,1
34.062114,-118.446853,1
34.039504,-118.24986,0
34.061042,-118.241171,0
34.040902,-118.247739,0
34.04329,-118.254076,0
34.062662,-118.445729,1
34.06266,-118.445668,1
34.046874,-118.249996,0
34.062162,-118.446893,1
34.039115,-118.262396,0
34.043955,-118.246576,0
34.033269,-118.250355,0
34.063846,-118.236477,0
34.047961,-118.242388,0
34.063131,-118.445208,1
34.03885,-118.253323,0
34.040589,-118.264481,0
34.036743,-118.257054,0
34.041838,-118.252562,0
34.035588,-118.258953,0
34.045692,-118.245195,0
34.038831,-118.262659,0
34.063569,-118.447632,1
34.063615,-118.443801,1
34.04553,-118.261834,0
34.101729,-118.32592,2
34.037452,-118.25906,0
34.040501,-118.249916,0
34.063613,-118.444114,1
34.033244,-118.250209,0
34.047714,-118.256385,0
34.046023,-118.259406,0
34.06552,-118.236585,0
34.065328,-118.238157,0
34.062627,-118.442631,1
34.099758,-118.322562,2
34.035394,-118.256418,0
34.063318,-118.447144,1
34.064,-118.237131,0
34.035438,-118.256378,0
34.099455,-118.32526,2
34.034056,-118.254682,0
34.057739,-118.254752,0
34.061413,-118.240331,0
34.056125,-118.249206,0
34.046013,-118.239033,0
34.062121,-118.448178,1
34.040586,-118.251018,0
34.038589,-118.252153,0
34.038037,-118.259133,0
34.042932,-118.250983,0
34.061219,-118.445253,1
34.051115,-118.255481,0
34.036946,-118.259732,0
34.047704,-118.246609,0
34.037966,-118.262839,0
34.045834,-118.259583,0
34.060066,-118.446915,1
34.063613,-118.444022,1
34.060143,-118.443015,1
34.040423,-118.254438,0
34.042009,-118.263156,0
34.045098,-118.24597,0
34.062272,-118.236812,0
34.051122,-118.248377,0
34.039931,-118.25763,0
34.098671,-118.325255,2
34.062264,-118.443094,1
34.060265,-118.4432,1
34.045666,-118.251358,0
34.100608,-118.323807,2
34.063275,-118.239393,0
34.041487,-118.250526,0
34.033074,-118.254671,0
